Zipcode,Region,transit_mode,agency,line_name,station_name,line_station,year_stati,stations_la,stations_lo
20743,39,4,WMATA,Metrorail Blue Line(Blue),ADDISON ROAD METRO STATION,Metrorail Blue Line(Blue) ADDISON ROAD METRO STATION,Pre-2000,38.886702,-76.89329
20743,39,4,WMATA,Metrorail Blue Line(Blue),CAPITOL HEIGHTS METRO STATION,Metrorail Blue Line(Blue) CAPITOL HEIGHTS METRO STATION,Pre-2000,38.889571,-76.913313
20746,39,4,WMATA,Metrorail Green Line(Green),BRANCH AVE METRO STATION,Metrorail Green Line(Green) BRANCH AVE METRO STATION,Pre-2000,38.827022,-76.911802
20746,39,4,WMATA,Metrorail Green Line(Green),SUITLAND METRO STATION,Metrorail Green Line(Green) SUITLAND METRO STATION,Pre-2000,38.843839,-76.93161
20748,39,4,WMATA,Metrorail Green Line(Green),NAYLOR ROAD METRO STATION,Metrorail Green Line(Green) NAYLOR ROAD METRO STATION,Pre-2000,38.851164,-76.956314
20748,39,4,WMATA,Metrorail Green Line(Green),SOUTHERN AVE METRO STATION,Metrorail Green Line(Green) SOUTHERN AVE METRO STATION,Pre-2000,38.841047,-76.975003
20770,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",GREENBELT METRO STATION,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) GREENBELT METRO STATION",Pre-2000,39.011067,-76.911011
20774,39,4,WMATA,Metrorail Blue Line(Blue),LARGO TOWN CENTER METRO STATION,Metrorail Blue Line(Blue) LARGO TOWN CENTER METRO STATION,2004,38.900269,-76.84454
20782,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",WEST HYATTSVILLE METRO STATION,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) WEST HYATTSVILLE METRO STATION",Pre-2000,38.955028,-76.969522
20782,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Green Line(Green)",PRINCE GEORGES PLAZA METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Green Line(Green) PRINCE GEORGES PLAZA METRO STATION",Pre-2000,38.965252,-76.955988
20785,39,4,WMATA,Metrorail Blue Line(Blue),MORGAN BOULEVARD METRO STATION,Metrorail Blue Line(Blue) MORGAN BOULEVARD METRO STATION,2004,38.893586,-76.868498
20785,39,4,WMATA,Metrorail Orange Line(Orange),CHEVERLY METRO STATION,Metrorail Orange Line(Orange) CHEVERLY METRO STATION,Pre-2000,38.916552,-76.915104
20785,39,4,WMATA,Metrorail Orange Line(Orange),LANDOVER METRO STATION,Metrorail Orange Line(Orange) LANDOVER METRO STATION,Pre-2000,38.933994,-76.890005
20785,39,4,WMATA,Metrorail Orange Line(Orange),NEW CARROLLTON METRO STATION,Metrorail Orange Line(Orange) NEW CARROLLTON METRO STATION,Pre-2000,38.946912,-76.870445
20814,39,4,WMATA,Metrorail Red Line(Red),BETHESDA METRO STATION,Metrorail Red Line(Red) BETHESDA METRO STATION,Pre-2000,38.984431,-77.094151
20814,39,4,WMATA,Metrorail Red Line(Red),MEDICAL CENTER METRO/NAVAL MED CTR & NIH,Metrorail Red Line(Red) MEDICAL CENTER METRO/NAVAL MED CTR & NIH,Pre-2000,39.000062,-77.096948
20815,39,4,WMATA,Metrorail Red Line(Red),FRIENDSHIP HEIGHTS METRO STATION,Metrorail Red Line(Red) FRIENDSHIP HEIGHTS METRO STATION,Pre-2000,38.960997,-77.085767
20850,39,4,WMATA,Metrorail Red Line(Red),ROCKVILLE METRO STATION,Metrorail Red Line(Red) ROCKVILLE METRO STATION,Pre-2000,39.085452,-77.146689
20852,39,4,WMATA,Metrorail Red Line(Red),GROSVENOR METRO STATION,Metrorail Red Line(Red) GROSVENOR METRO STATION,Pre-2000,39.029243,-77.103838
20852,39,4,WMATA,Metrorail Red Line(Red),TWINBROOK METRO STATION,Metrorail Red Line(Red) TWINBROOK METRO STATION,Pre-2000,39.062389,-77.120792
20852,39,4,WMATA,Metrorail Red Line(Red),WHITE FLINT METRO STATION,Metrorail Red Line(Red) WHITE FLINT METRO STATION,Pre-2000,39.047162,-77.112782
20855,39,4,WMATA,Metrorail Red Line(Red),SHADY GROVE METRO STATION,Metrorail Red Line(Red) SHADY GROVE METRO STATION,Pre-2000,39.11999,-77.164761
20902,39,4,WMATA,Metrorail Red Line(Red),WHEATON METRO STATION,Metrorail Red Line(Red) WHEATON METRO STATION,Pre-2000,39.038565,-77.050776
